CustomerKey,Customer Code,Title,Name,Birth Date,Marital Status,Gender,Yearly Income,Total Children,Children At Home,Education,Occupation,House Ownership,Cars Owned,Continent,City,State,CountryRegion,Address Line 1,Address Line 2,Phone,Date First Purchase,Customer Type,Company Name
4222,15221,,"Arun, Troy",11-03-1964 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Matraville,New South Wales,Australia,623 Davis Ave.,,1 (11) 500 555-0129,13-05-2003 00:00,Person,
4224,15223,,"Martin, Ebony",27-11-1964 00:00,S,F,70000,0,0,Bachelors,Professional,House Owner,1,Asia,North Ryde,New South Wales,Australia,8713 Yosemite Ct.,,1 (11) 500 555-0162,08-05-2003 00:00,Person,
4225,15224,,"Gutierrez, Pedro",09-02-1964 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,North Sydney,New South Wales,Australia,7652 Mcelroy,,1 (11) 500 555-0118,06-11-2003 00:00,Person,
4227,15226,,"Moreno, Lori",05-11-1963 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,2,Asia,Lane Cove,New South Wales,Australia,792 Myrtle Drive,,1 (11) 500 555-0192,15-05-2003 00:00,Person,
4228,15227,,"Malhotra, Harold",15-06-1963 00:00,S,M,70000,0,0,Bachelors,Professional,House Owner,2,Asia,Newcastle,New South Wales,Australia,319 Dale Pl.,,1 (11) 500 555-0171,12-05-2003 00:00,Person,
4229,15228,,"Raman, Jermaine",02-11-1963 00:00,M,M,70000,0,0,Bachelors,Professional,No Owner,2,Asia,Rhodes,New South Wales,Australia,7749 Dakota Lane,,1 (11) 500 555-0141,23-05-2003 00:00,Person,
4718,15717,,"Henderson, Alexia",26-05-1976 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,2,Asia,Sydney,New South Wales,Australia,9556 Nightingale Drive,,1 (11) 500 555-0113,15-05-2003 00:00,Person,
4719,15718,,"Lin, Heather",15-04-1976 00:00,M,F,70000,0,0,Bachelors,Professional,House Owner,3,Asia,Darlinghurst,New South Wales,Australia,4890 Heron Ct,,1 (11) 500 555-0116,19-03-2004 00:00,Person,
4721,15720,,"Ramos, Jaime",26-07-1974 00:00,M,F,70000,0,0,Bachelors,Professional,House Owner,4,Asia,Malabar,New South Wales,Australia,756 Palm Dr,,1 (11) 500 555-0159,14-08-2003 00:00,Person,
4794,15793,,"Navarro, Renee",12-04-1965 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Coffs Harbour,New South Wales,Australia,6512 Buena Vista Ave.,,1 (11) 500 555-0159,20-06-2003 00:00,Person,
5181,16180,,"Perez, Kyle",22-08-1965 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Coffs Harbour,New South Wales,Australia,68 Sunset Way,,1 (11) 500 555-0110,29-06-2003 00:00,Person,
5607,16606,,"Blanco, Ricky",09-11-1976 00:00,S,M,70000,0,0,Bachelors,Professional,House Owner,3,Asia,Matraville,New South Wales,Australia,3967 High Street,,1 (11) 500 555-0182,08-02-2004 00:00,Person,
5611,16610,,"Clark, Sydney",23-06-1974 00:00,M,F,70000,0,0,Bachelors,Professional,No Owner,4,Asia,Coffs Harbour,New South Wales,Australia,9864 Bates Court,,1 (11) 500 555-0157,13-09-2003 00:00,Person,
5681,16680,,"Edwards, Carlos",16-03-1963 00:00,M,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Coffs Harbour,New South Wales,Australia,5576 Westminster Pl.,,1 (11) 500 555-0181,10-02-2004 00:00,Person,
5702,16701,,"Zheng, Laura",17-07-1963 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,2,Asia,North Ryde,New South Wales,Australia,4428 Jones Rd.,,1 (11) 500 555-0110,21-08-2001 00:00,Person,
6070,17069,,"Zheng, Christy",15-12-1968 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Port Macquarie,New South Wales,Australia,7254 Buchanan Road,,1 (11) 500 555-0176,12-09-2001 00:00,Person,
6072,17071,,"Raji, Tammy",18-02-1965 00:00,S,F,70000,0,0,Bachelors,Professional,House Owner,1,Asia,North Sydney,New South Wales,Australia,2781 Cresent Dr.,,1 (11) 500 555-0117,02-09-2001 00:00,Person,
6079,17078,,"Zhu, Jenny",05-08-1963 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Darlinghurst,New South Wales,Australia,3171 Jeanne Circle,,1 (11) 500 555-0195,08-08-2003 00:00,Person,
6298,17297,,"Kumar, Tommy",27-04-1968 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Matraville,New South Wales,Australia,1880 Birchwood,,1 (11) 500 555-0145,08-09-2003 00:00,Person,
6320,17319,,"Johnson, Brianna",01-01-1964 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Coffs Harbour,New South Wales,Australia,7458 Windmill Way,,1 (11) 500 555-0115,20-03-2004 00:00,Person,
6321,17320,,"Zhu, Alan",24-09-1964 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Darlinghurst,New South Wales,Australia,8995 Stanford St.,,1 (11) 500 555-0115,02-09-2001 00:00,Person,
6323,17322,,"Beck, Derek",20-05-1964 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Springwood,New South Wales,Australia,9476 Hill Top Rd.,,1 (11) 500 555-0123,12-11-2003 00:00,Person,
7190,18189,,"Mehta, Nancy",21-10-1976 00:00,M,F,70000,0,0,Bachelors,Professional,House Owner,2,Asia,Silverwater,New South Wales,Australia,5021 Rio Grande Drive,,1 (11) 500 555-0161,05-10-2001 00:00,Person,
7196,18195,,"Sanz, Walter",20-08-1974 00:00,M,M,70000,0,0,Bachelors,Professional,House Owner,4,Asia,Lane Cove,New South Wales,Australia,7747 Relis Valley Road,,1 (11) 500 555-0144,23-10-2003 00:00,Person,
7259,18258,,"Chander, Cassie",23-04-1968 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Matraville,New South Wales,Australia,3747 W. Landing Avenue,,1 (11) 500 555-0132,20-12-2003 00:00,Person,
7271,18270,,"Rana, Rachael",08-04-1963 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Wollongong,New South Wales,Australia,5637 Boyd Road,,1 (11) 500 555-0134,03-01-2004 00:00,Person,
7272,18271,,"Yuan, Darrell",18-06-1963 00:00,M,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,North Sydney,New South Wales,Australia,1555 Lace Drive,,1 (11) 500 555-0198,10-10-2003 00:00,Person,
7289,18288,,"Suarez, Daisy",27-08-1965 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Goulburn,New South Wales,Australia,4845 Lighthouse Way,,1 (11) 500 555-0178,08-12-2001 00:00,Person,
7291,18290,,"Hernandez, Audrey",21-10-1964 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Darlinghurst,New South Wales,Australia,6837 Rosemarie Place,,1 (11) 500 555-0186,12-08-2003 00:00,Person,
7297,18296,,"Li, Trisha",16-11-1963 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Coffs Harbour,New South Wales,Australia,3596 Kingsford Dr.,,1 (11) 500 555-0117,11-12-2001 00:00,Person,
7298,18297,,"Alvarez, Gloria",26-08-1963 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,2,Asia,Milsons Point,New South Wales,Australia,8373 Endriss,,1 (11) 500 555-0142,26-12-2001 00:00,Person,
7739,18738,,"Luo, Tamara",12-04-1963 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,2,Asia,Rhodes,New South Wales,Australia,2229 Oak Rd.,,1 (11) 500 555-0189,16-01-2002 00:00,Person,
8085,19084,,"Raje, Colleen",13-08-1976 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,2,Asia,North Ryde,New South Wales,Australia,6346 Doyle,,1 (11) 500 555-0194,11-01-2002 00:00,Person,
8086,19085,,"Kumar, Shawna",23-10-1976 00:00,M,F,70000,0,0,Bachelors,Professional,House Owner,3,Asia,Silverwater,New South Wales,Australia,8181 Landing Dr.,,1 (11) 500 555-0192,29-12-2003 00:00,Person,
8087,19086,,"Chander, Tommy",16-11-1975 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,3,Asia,Matraville,New South Wales,Australia,243 Pine Dr,,1 (11) 500 555-0113,28-08-2003 00:00,Person,
8597,19596,,"Fernandez, Allen",11-05-1963 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Darlinghurst,New South Wales,Australia,5678 Arlington Way,,1 (11) 500 555-0175,05-02-2002 00:00,Person,
8612,19611,,"Prasad, Meagan",15-10-1963 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Coffs Harbour,New South Wales,Australia,5302 Argonne Drive,,1 (11) 500 555-0117,21-02-2002 00:00,Person,
8950,19949,,"Anand, Niñia",26-12-1976 00:00,M,F,70000,0,0,Bachelors,Professional,House Owner,2,Asia,North Ryde,New South Wales,Australia,2151 Twincreek Ct,,1 (11) 500 555-0116,30-03-2002 00:00,Person,
9601,20600,,"Hu, Dennis",28-01-1975 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,2,Asia,Milsons Point,New South Wales,Australia,2383 Mt. Davidson Court,,1 (11) 500 555-0120,04-05-2002 00:00,Person,
9602,20601,,"Munoz, Carrie",08-04-1976 00:00,M,F,70000,0,0,Bachelors,Professional,House Owner,3,Asia,Malabar,New South Wales,Australia,5558 Kaitlin Pl.,,1 (11) 500 555-0120,31-07-2004 00:00,Person,
9603,20602,,"Moreno, Casey",27-08-1976 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,3,Asia,Silverwater,New South Wales,Australia,557 Diver Way,,1 (11) 500 555-0142,12-10-2003 00:00,Person,
10212,21211,,"He, Louis",12-05-1964 00:00,S,M,70000,0,0,Bachelors,Professional,House Owner,1,Asia,Goulburn,New South Wales,Australia,486 Lorraine Ave,,1 (11) 500 555-0167,17-07-2002 00:00,Person,
10215,21214,,"She, Corey",01-04-1964 00:00,S,M,70000,0,0,Bachelors,Professional,House Owner,1,Asia,Matraville,New South Wales,Australia,1911 Almond Avenue,,1 (11) 500 555-0164,22-07-2002 00:00,Person,
10216,21215,,"Yang, Tiffany",27-08-1964 00:00,S,F,70000,0,0,Bachelors,Professional,House Owner,1,Asia,Wollongong,New South Wales,Australia,3403 Rapallo Lane,,1 (11) 500 555-0158,10-07-2002 00:00,Person,
10874,21873,,"Navarro, Kellie",03-08-1975 00:00,M,F,70000,0,0,Bachelors,Professional,House Owner,2,Asia,Lane Cove,New South Wales,Australia,1164 Augustine Drive,,1 (11) 500 555-0157,24-09-2002 00:00,Person,
10875,21874,,"Suarez, Brandi",22-05-1976 00:00,M,F,70000,0,0,Bachelors,Professional,No Owner,2,Asia,Port Macquarie,New South Wales,Australia,9825 Mt. Dell Drive,,1 (11) 500 555-0112,19-09-2002 00:00,Person,
10876,21875,,"Nara, Cedric",17-08-1976 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,2,Asia,Silverwater,New South Wales,Australia,2257 Gate Drive,,1 (11) 500 555-0191,03-09-2002 00:00,Person,
10877,21876,,"Rubio, Philip",26-04-1976 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,2,Asia,Newcastle,New South Wales,Australia,3586 Everett Court,,1 (11) 500 555-0147,22-09-2002 00:00,Person,
10970,21969,,"Deng, Latoya",25-03-1968 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Malabar,New South Wales,Australia,1546 Cinnabar St.,,1 (11) 500 555-0175,29-10-2002 00:00,Person,
10978,21977,,"Malhotra, Phillip",21-07-1963 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,St. Leonards,New South Wales,Australia,9377 Detroit Ave,,1 (11) 500 555-0122,13-12-2003 00:00,Person,
11841,22840,,"Sullivan, Dominic",10-04-1976 00:00,S,M,70000,0,0,Bachelors,Professional,House Owner,2,Asia,Coffs Harbour,New South Wales,Australia,3605 Gallagher Circle,,1 (11) 500 555-0118,23-04-2004 00:00,Person,
11844,22843,,"Lu, Tiffany",07-10-1976 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,3,Asia,Darlinghurst,New South Wales,Australia,593 Chatworth,,1 (11) 500 555-0193,14-10-2003 00:00,Person,
11845,22844,,"Arun, Marie",18-08-1976 00:00,M,F,70000,0,0,Bachelors,Professional,No Owner,3,Asia,Springwood,New South Wales,Australia,831 Valley Crest Dr.,,1 (11) 500 555-0148,02-10-2003 00:00,Person,
11929,22928,,"Nelson, Natalie",11-04-1963 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Coffs Harbour,New South Wales,Australia,4800 Quiz Street,,1 (11) 500 555-0193,15-12-2003 00:00,Person,
12436,23435,,"Chen, Rosa",27-06-1968 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Matraville,New South Wales,Australia,1276 Quartermaster,,1 (11) 500 555-0144,21-02-2003 00:00,Person,
12437,23436,,"Munoz, Tanya",17-01-1968 00:00,S,F,70000,0,0,Bachelors,Professional,House Owner,1,Asia,Milsons Point,New South Wales,Australia,1005 Tanager Court,,1 (11) 500 555-0111,12-02-2003 00:00,Person,
12439,23438,,"Vance, Toni",24-10-1965 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Lane Cove,New South Wales,Australia,7720 Breaker Dr.,,1 (11) 500 555-0185,20-03-2004 00:00,Person,
12440,23439,,"Hu, Ramon",19-07-1965 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,North Ryde,New South Wales,Australia,9237 Cordova Way,,1 (11) 500 555-0185,16-09-2003 00:00,Person,
12641,23640,,"Jiménez, Bruce",08-01-1975 00:00,M,M,70000,0,0,Bachelors,Professional,House Owner,2,Asia,Springwood,New South Wales,Australia,3011 Norman Avenue,,1 (11) 500 555-0154,07-02-2003 00:00,Person,
12643,23642,,"Gutierrez, Anne",18-07-1975 00:00,M,F,70000,0,0,Bachelors,Professional,No Owner,3,Asia,St. Leonards,New South Wales,Australia,3376 Bynum Way,,1 (11) 500 555-0194,21-07-2004 00:00,Person,
12644,23643,,"Zheng, Erica",22-11-1974 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,3,Asia,North Ryde,New South Wales,Australia,7403 N. Broadway,,1 (11) 500 555-0122,05-11-2003 00:00,Person,
12645,23644,,"Young, Allison",03-10-1974 00:00,M,F,70000,0,0,Bachelors,Professional,House Owner,4,Asia,Coffs Harbour,New South Wales,Australia,8397 Galveston Ct.,,1 (11) 500 555-0139,07-04-2004 00:00,Person,
13379,24378,,"Jiménez, Brandi",04-06-1968 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Port Macquarie,New South Wales,Australia,6377 East Avenue,,1 (11) 500 555-0172,31-05-2003 00:00,Person,
13382,24381,,"Serrano, Danny",14-05-1965 00:00,S,M,70000,0,0,Bachelors,Professional,House Owner,1,Asia,Silverwater,New South Wales,Australia,9353 N Lucile Lane,,1 (11) 500 555-0110,22-05-2003 00:00,Person,
13473,24472,,"He, Jake",23-10-1964 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,North Ryde,New South Wales,Australia,5281 Miller Avenue,,1 (11) 500 555-0189,18-06-2004 00:00,Person,
13474,24473,,"Rana, Marco",26-03-1964 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Wollongong,New South Wales,Australia,1461 Dent Way,,1 (11) 500 555-0153,01-03-2004 00:00,Person,
13475,24474,,"Guo, Rosa",26-03-1963 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,2,Asia,Sydney,New South Wales,Australia,9697 Central Ave,,1 (11) 500 555-0184,07-06-2003 00:00,Person,
13589,24588,,"Becker, Kathryn",07-02-1976 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,3,Asia,Lavender Bay,New South Wales,Australia,9452 Mariposa Ct.,,1 (11) 500 555-0110,21-01-2004 00:00,Person,
13591,24590,,"Alonso, Diana",04-01-1974 00:00,M,F,70000,0,0,Bachelors,Professional,No Owner,3,Asia,Wollongong,New South Wales,Australia,5218 E 28th Street,,1 (11) 500 555-0148,13-06-2003 00:00,Person,
13594,24593,,"Watson, Destiny",06-09-1974 00:00,M,F,70000,0,0,Bachelors,Professional,No Owner,4,Asia,Sydney,New South Wales,Australia,7525 Sutcliffe Pl.,,1 (11) 500 555-0144,22-07-2004 00:00,Person,
13890,24889,,"She, Kelli",20-12-1975 00:00,M,F,70000,0,0,Bachelors,Professional,House Owner,2,Asia,Goulburn,New South Wales,Australia,9323 Cowell Road,,1 (11) 500 555-0146,30-09-2002 00:00,Person,
13895,24894,,"Jai, Jaime",25-04-1974 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,3,Asia,Sydney,New South Wales,Australia,9059 Salvio St.,,1 (11) 500 555-0147,21-08-2003 00:00,Person,
13896,24895,,"Henderson, Dalton",10-11-1974 00:00,M,M,70000,0,0,Bachelors,Professional,No Owner,4,Asia,Coffs Harbour,New South Wales,Australia,6751 East 25th St,,1 (11) 500 555-0167,04-09-2003 00:00,Person,
14134,25133,,"Gutierrez, Kristine",05-12-1968 00:00,S,F,70000,0,0,Bachelors,Professional,House Owner,1,Asia,North Ryde,New South Wales,Australia,7399 Pacific,,1 (11) 500 555-0116,10-05-2003 00:00,Person,
14225,25224,,"Kumar, Keith",27-03-1965 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Darlinghurst,New South Wales,Australia,8084 Cardiff Drive,,1 (11) 500 555-0199,04-10-2003 00:00,Person,
14227,25226,,"Kumar, Robert",09-11-1965 00:00,S,M,70000,0,0,Bachelors,Professional,House Owner,1,Asia,Goulburn,New South Wales,Australia,6121 Cook Pk,,1 (11) 500 555-0129,25-06-2003 00:00,Person,
14229,25228,,"Ashe, Brad",14-10-1964 00:00,S,M,70000,0,0,Bachelors,Professional,House Owner,1,Asia,North Sydney,New South Wales,Australia,1491 Marina Vill Pkwy,,1 (11) 500 555-0161,25-06-2003 00:00,Person,
14230,25229,,"Zhou, Autumn",15-03-1964 00:00,S,F,70000,0,0,Bachelors,Professional,House Owner,1,Asia,Springwood,New South Wales,Australia,8096 West M Street,,1 (11) 500 555-0191,20-06-2003 00:00,Person,
15151,26150,,"Rana, Nancy",27-10-1964 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,North Sydney,New South Wales,Australia,1828 Blackburn Ct.,,1 (11) 500 555-0180,25-09-2002 00:00,Person,
15153,26152,,"Gill, Jaime",13-08-1963 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,2,Asia,North Ryde,New South Wales,Australia,371 Woodside Way,,1 (11) 500 555-0153,02-09-2002 00:00,Person,
15426,26425,,"Malhotra, Janelle",12-11-1976 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,3,Asia,Lane Cove,New South Wales,Australia,8611 Park Lane Circle,,1 (11) 500 555-0155,02-03-2004 00:00,Person,
15968,26967,,"Li, Edwin",14-04-1968 00:00,S,M,70000,0,0,Bachelors,Professional,House Owner,1,Asia,Lane Cove,New South Wales,Australia,9518 Stanley Dollar Dr.,,1 (11) 500 555-0159,26-04-2003 00:00,Person,
16339,27338,,"Lopez, Virginia",17-11-1975 00:00,M,F,70000,0,0,Bachelors,Professional,House Owner,2,Asia,North Sydney,New South Wales,Australia,5778 Mt Tri-state Court,,1 (11) 500 555-0134,03-04-2003 00:00,Person,
16340,27339,,"Sai, Ann",18-10-1975 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,2,Asia,Silverwater,New South Wales,Australia,1929 Many Lane,,1 (11) 500 555-0119,03-05-2003 00:00,Person,
16689,27688,,"Sanz, Arthur",28-06-1963 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Goulburn,New South Wales,Australia,2707 Virgil Street,,1 (11) 500 555-0193,01-08-2003 00:00,Person,
16708,27707,,"Raji, Colleen",22-09-1964 00:00,S,F,70000,0,0,Bachelors,Professional,No Owner,1,Asia,North Sydney,New South Wales,Australia,1525 Dumbarton St,,1 (11) 500 555-0187,18-03-2004 00:00,Person,
16969,27968,,"Xu, Roger",06-06-1976 00:00,M,M,70000,0,0,Bachelors,Professional,House Owner,3,Asia,St. Leonards,New South Wales,Australia,4816 Condor Dr,,1 (11) 500 555-0130,06-08-2003 00:00,Person,
17323,28322,,"Chen, Willie",23-01-1964 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Milsons Point,New South Wales,Australia,7547 Delta Fair Blvd.,,1 (11) 500 555-0121,06-10-2003 00:00,Person,
17720,28719,,"Vazquez, Neil",18-04-1968 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,1,Asia,Lane Cove,New South Wales,Australia,7537 Clark Creek Lane,,1 (11) 500 555-0177,08-08-2003 00:00,Person,
17924,28923,,"Hernandez, Roberto",07-08-1975 00:00,S,M,70000,0,0,Bachelors,Professional,No Owner,2,Asia,Milsons Point,New South Wales,Australia,8801 Lee Lane,,1 (11) 500 555-0117,16-09-2003 00:00,Person,
17926,28925,,"Lu, Warren",03-04-1976 00:00,M,M,70000,0,0,Bachelors,Professional,House Owner,2,Asia,Lane Cove,New South Wales,Australia,8979 Adams Dr.,,1 (11) 500 555-0135,19-05-2004 00:00,Person,
17933,28932,,"Ashe, Marshall",27-08-1974 00:00,M,M,70000,0,0,Bachelors,Professional,House Owner,3,Asia,Matraville,New South Wales,Australia,8200 Schenone Court,,1 (11) 500 555-0197,14-06-2004 00:00,Person,
17935,28934,,"Nara, Ricardo",04-10-1974 00:00,M,M,70000,0,0,Bachelors,Professional,No Owner,3,Asia,Goulburn,New South Wales,Australia,1942 Rock Island Drive,,1 (11) 500 555-0165,18-02-2004 00:00,Person,
458,11457,,"Gutierrez, Jaime",21-05-1973 00:00,M,F,90000,0,0,Bachelors,Professional,House Owner,3,Asia,Wollongong,New South Wales,Australia,6615 Camel Place,,1 (11) 500 555-0173,17-01-2002 00:00,Person,
