Date	Sales Rep	Sales	Region
19-May-06	Rajat	14550	South
20-May-06	Ramesh	10500	East
21-May-06	Anshika	11050	South
23-May-06	Rajat	13750	North
23-May-06	Varsha	10600	East
25-May-06	Anshika	13450	West
29-May-06	Charley	12300	South
30-May-06	Jaspreet	12750	North
30-May-06	Jaspreet	11200	South
31-May-06	Abhay	12600	North
03-Jun-06	Varsha	14700	South
07-Jun-06	Swati	10600	South
11-Jun-06	Charley	11000	North
13-Jun-06	Rajat	13350	East
15-Jun-06	Abhay	12150	West
16-Jun-06	Veronica	12950	North
16-Jun-06	Anshika	14700	West
16-Jun-06	Bruce	11550	North
20-Jun-06	Swati	13400	North
23-Jun-06	Jaspreet	13550	North
26-Jun-06	Charley	11250	North
30-Jun-06	Varsha	11050	South
12-Jul-06	Rajat	10850	West
15-Jul-06	Ramesh	14250	South
17-Jul-06	Varsha	10000	North
17-Jul-06	James	12050	West
22-Jul-06	Abhay	10250	East
23-Jul-06	Ramesh	12150	West
25-Jul-06	Rajat	12450	East
26-Jul-06	Varsha	11900	West
26-Jul-06	Veronica	11200	North
28-Jul-06	Varsha	14050	North
03-Aug-06	Rajat	10950	North
06-Aug-06	Anshika	14300	West
08-Aug-06	Charley	12450	North
08-Aug-06	Varsha	14650	West
11-Aug-06	Anshika	13950	North
11-Aug-06	Bruce	12250	West
14-Aug-06	Varsha	12850	West
16-Aug-06	Charley	13650	East
17-Aug-06	Rajat	11250	East
18-Aug-06	James	11550	North
25-Aug-06	James	11900	East
29-Aug-06	James	10550	West
04-Sep-06	Swati	12400	South
04-Sep-06	Anshika	11850	North
04-Sep-06	Abhay	13600	South
11-Sep-06	Bruce	13500	West
15-Sep-06	Veronica	12050	East
17-Sep-06	Rajat	11650	East
20-Sep-06	Veronica	14650	East
26-Sep-06	Bruce	11350	East
30-Sep-06	Mark	12950	West
01-Oct-06	Jaspreet	12050	West
02-Oct-06	Bruce	12350	West
04-Oct-06	Anshika	13300	South
05-Oct-06	Charley	11450	North
07-Oct-06	Varsha	11850	South
10-Oct-06	Anshika	11900	West
11-Oct-06	Mark	11900	South
12-Oct-06	Mark	10600	South
13-Oct-06	Charley	14200	East
14-Oct-06	Varsha	13900	East
16-Oct-06	Jaspreet	14150	East
18-Oct-06	Veronica	13800	East
19-Oct-06	Charley	12550	East
19-Oct-06	Bruce	13850	North
20-Oct-06	Abhay	10600	West
23-Oct-06	Ramesh	10700	South
27-Oct-06	Charley	12750	East
28-Oct-06	Veronica	12450	West
29-Oct-06	Jaspreet	14750	North
29-Oct-06	Abhay	12850	West
30-Oct-06	Rajat	11600	East
03-Nov-06	Abhay	13700	East
04-Nov-06	Ramesh	10850	North
06-Nov-06	James	10400	South
06-Nov-06	Swati	12600	West
06-Nov-06	Anshika	10400	East
08-Nov-06	Varsha	11650	North
08-Nov-06	Swati	10050	North
09-Nov-06	Rajat	13600	East
10-Nov-06	Mark	13350	West
19-Nov-06	Varsha	10850	South
22-Nov-06	Mark	14150	South
23-Nov-06	James	11800	East
24-Nov-06	Ramesh	14150	North
26-Nov-06	Swati	11000	East
27-Nov-06	Bruce	10150	West
28-Nov-06	Ramesh	13400	South
29-Nov-06	Varsha	10900	South
29-Nov-06	Rajat	13000	East
06-Dec-06	Varsha	14800	North
08-Dec-06	James	10800	West
12-Dec-06	Ramesh	11950	South
13-Dec-06	Charley	15000	North
14-Dec-06	Abhay	12100	West
18-Dec-06	Mark	14600	West
18-Dec-06	Anshika	12400	South
20-Dec-06	James	11000	East
23-Dec-06	Swati	10150	South
25-Dec-06	Veronica	13450	West
26-Dec-06	Ramesh	10150	West
29-Dec-06	Anshika	14500	North
29-Dec-06	Anshika	14000	West
30-Dec-06	James	10400	East
30-Dec-06	Mark	13600	South
31-Dec-06	Bruce	13600	North
02-Jan-07	Bruce	12400	South
02-Jan-07	Ramesh	13600	South
06-Jan-07	Bruce	15000	South
08-Jan-07	Rajat	13650	South
08-Jan-07	Bruce	11350	North
09-Jan-07	Anshika	14700	West
10-Jan-07	Bruce	14150	East
14-Jan-07	Bruce	12400	West
15-Jan-07	Anshika	13000	North
17-Jan-07	Bruce	11500	East
17-Jan-07	Varsha	13150	South
18-Jan-07	Varsha	11150	West
19-Jan-07	Swati	12600	North
20-Jan-07	Rajat	10950	West
20-Jan-07	Varsha	11700	East
22-Jan-07	Jaspreet	13150	East
30-Jan-07	James	13550	East
30-Jan-07	Rajat	14300	North
01-Feb-07	Abhay	12200	South
02-Feb-07	Charley	14750	South
03-Feb-07	Rajat	11500	North
07-Feb-07	Jaspreet	12600	East
09-Feb-07	James	12700	West
10-Feb-07	Rajat	14750	East
15-Feb-07	Mark	14950	South
17-Feb-07	Anshika	12900	East
18-Feb-07	Anshika	12050	East
19-Feb-07	James	10700	East
20-Feb-07	Jaspreet	14850	North
24-Feb-07	Anshika	13400	South
25-Feb-07	Swati	14450	South
28-Feb-07	Jaspreet	10150	North
01-Mar-07	Ramesh	15000	West
01-Mar-07	Bruce	11850	West
02-Mar-07	James	13750	East
03-Mar-07	Swati	11750	North
04-Mar-07	Anshika	11450	North
07-Mar-07	Abhay	11350	West
08-Mar-07	Anshika	11300	West
09-Mar-07	Varsha	12900	East
11-Mar-07	James	14200	North
13-Mar-07	Charley	10700	South
13-Mar-07	Bruce	13050	North
14-Mar-07	Anshika	10000	South
16-Mar-07	Veronica	10050	East
16-Mar-07	Varsha	14850	East
18-Mar-07	Ramesh	14000	East
18-Mar-07	Charley	12100	East
18-Mar-07	James	10300	South
18-Mar-07	Bruce	12750	West
18-Mar-07	Ramesh	14100	South
19-Mar-07	Abhay	13300	North
19-Mar-07	Swati	14200	West
27-Mar-07	Abhay	13650	North
30-Mar-07	Varsha	13700	East
30-Mar-07	Jaspreet	12950	West
31-Mar-07	Charley	12050	South
03-Apr-07	Rajat	12500	North
06-Apr-07	Anshika	13550	East
07-Apr-07	Bruce	10100	North
13-Apr-07	Varsha	13650	East
15-Apr-07	Mark	12700	West
16-Apr-07	Ramesh	11700	East
16-Apr-07	James	14500	West
17-Apr-07	Bruce	10050	South
18-Apr-07	Jaspreet	13550	North
18-Apr-07	Bruce	11400	West
28-Apr-07	Abhay	14550	East
28-Apr-07	Rajat	14700	West
30-Apr-07	Charley	11600	West
30-Apr-07	Anshika	13900	South
30-Apr-07	Veronica	14950	North
01-May-07	Bruce	12650	North
03-May-07	Abhay	14500	South
04-May-07	James	14950	West
05-May-07	Ramesh	12300	South
05-May-07	Jaspreet	11600	North
06-May-07	Mark	12050	East
06-May-07	Jaspreet	11800	South
06-May-07	Anshika	14000	West
12-May-07	Abhay	11000	South
13-May-07	Jaspreet	11750	South
14-May-07	Abhay	14150	West
14-May-07	Ramesh	12300	West
23-May-07	James	14800	West
24-May-07	Mark	12100	West
24-May-07	Abhay	11850	North
27-May-07	Charley	11150	West
29-May-07	Rajat	11400	West
30-May-07	Rajat	10650	East
31-May-07	Abhay	10000	East
01-Jun-07	Anshika	14300	East
06-Jun-07	Varsha	10900	East
08-Jun-07	Mark	13400	East
09-Jun-07	Rajat	14800	North
09-Jun-07	Ramesh	13150	East
10-Jun-07	Charley	14800	North
15-Jun-07	Ramesh	14100	South
17-Jun-07	Veronica	14500	West
19-Jun-07	Charley	10100	East
20-Jun-07	Abhay	11150	North
22-Jun-07	Abhay	12900	West
23-Jun-07	Veronica	11050	East
25-Jun-07	Varsha	10600	East
25-Jun-07	Abhay	13300	South
26-Jun-07	James	13150	East
27-Jun-07	Anshika	13200	East
27-Jun-07	Veronica	11500	East
01-Jul-07	Swati	13950	West
05-Jul-07	Veronica	11150	North
05-Jul-07	Swati	13350	North
08-Jul-07	Veronica	11400	North
09-Jul-07	Bruce	13550	North
10-Jul-07	Mark	13750	South
11-Jul-07	Varsha	13750	South
12-Jul-07	Jaspreet	10650	North
12-Jul-07	Bruce	13600	West
13-Jul-07	Ramesh	10850	South
17-Jul-07	Rajat	10300	North
17-Jul-07	Mark	13750	West
17-Jul-07	Jaspreet	11750	South
18-Jul-07	Jaspreet	13850	West
20-Jul-07	Abhay	14950	North
21-Jul-07	Bruce	14500	East
25-Jul-07	James	12300	North
29-Jul-07	Varsha	10400	East
29-Jul-07	Rajat	14700	West
02-Aug-07	Charley	10300	East
06-Aug-07	Anshika	13200	North
07-Aug-07	Bruce	13350	East
10-Aug-07	Abhay	15000	South
12-Aug-07	Veronica	10750	North
16-Aug-07	Rajat	11450	East
22-Aug-07	Anshika	14700	South
28-Aug-07	Abhay	12950	South
30-Aug-07	James	13750	North
05-Sep-07	Abhay	13100	North
05-Sep-07	Ramesh	13550	North
07-Sep-07	Jaspreet	14300	South
07-Sep-07	Ramesh	10850	South
07-Sep-07	James	13050	East
10-Sep-07	Mark	10450	West
10-Sep-07	Anshika	12300	South
10-Sep-07	Swati	14500	South
12-Sep-07	Bruce	14000	West
14-Sep-07	Swati	14900	South
15-Sep-07	Swati	11750	North
16-Sep-07	Veronica	14500	East
17-Sep-07	Mark	13700	North
18-Sep-07	Charley	11400	North
22-Sep-07	Abhay	14600	South
28-Sep-07	Ramesh	13100	North
28-Sep-07	Jaspreet	13000	South
03-Oct-07	Jaspreet	12400	North
07-Oct-07	Rajat	10800	North
08-Oct-07	Abhay	11050	North
09-Oct-07	Ramesh	14300	North
15-Oct-07	Bruce	10350	North
17-Oct-07	Abhay	12550	East
22-Oct-07	Bruce	11350	East
23-Oct-07	Anshika	13600	East
23-Oct-07	Rajat	10250	East
24-Oct-07	Mark	14900	North
27-Oct-07	Charley	11650	North
30-Oct-07	Charley	12300	East
31-Oct-07	Jaspreet	10450	East
05-Nov-07	Bruce	10600	West
06-Nov-07	Varsha	12750	North
07-Nov-07	Anshika	12450	West
16-Nov-07	Abhay	11400	East
17-Nov-07	Veronica	13050	West
18-Nov-07	Rajat	12100	North
19-Nov-07	Swati	13700	South
20-Nov-07	Swati	13150	East
20-Nov-07	Veronica	12850	North
21-Nov-07	Swati	11550	North
22-Nov-07	Swati	13850	South
26-Nov-07	Charley	10100	West
26-Nov-07	Veronica	10650	West
01-Dec-07	Abhay	14950	North
01-Dec-07	Varsha	14550	South
03-Dec-07	Rajat	11050	West
03-Dec-07	Charley	14450	South
03-Dec-07	Rajat	12700	East
03-Dec-07	Rajat	11000	West
03-Dec-07	Mark	13450	East
06-Dec-07	Anshika	13050	East
07-Dec-07	Varsha	10500	East
07-Dec-07	Veronica	10400	West
07-Dec-07	Varsha	13450	South
08-Dec-07	Charley	12950	West
08-Dec-07	Swati	11050	East
10-Dec-07	Charley	11400	East
11-Dec-07	James	11800	East
11-Dec-07	Charley	14550	West
11-Dec-07	Swati	10200	North
11-Dec-07	Bruce	10500	South
14-Dec-07	Jaspreet	11250	West
15-Dec-07	Bruce	12700	West
17-Dec-07	Charley	13350	East
20-Dec-07	James	11800	South
20-Dec-07	Charley	10450	West
25-Dec-07	Charley	10400	South
25-Dec-07	Veronica	12350	North
27-Dec-07	Charley	13800	North
27-Dec-07	Bruce	11200	East
04-Jan-08	Abhay	10600	South
05-Jan-08	Jaspreet	11250	East
06-Jan-08	Abhay	13050	South
06-Jan-08	Varsha	14950	West
07-Jan-08	Bruce	14200	East
07-Jan-08	Abhay	10900	East
07-Jan-08	Jaspreet	10200	East
11-Jan-08	Veronica	10100	North
12-Jan-08	Abhay	14550	South
13-Jan-08	Bruce	11350	North
14-Jan-08	Veronica	12600	North
18-Jan-08	Varsha	13100	South
21-Jan-08	Anshika	11750	South
22-Jan-08	Veronica	13100	South
23-Jan-08	Jaspreet	15000	North
23-Jan-08	Veronica	10100	East
24-Jan-08	Mark	14550	South
25-Jan-08	Anshika	14150	South
29-Jan-08	Charley	10500	South
29-Jan-08	Varsha	13300	South
30-Jan-08	Ramesh	11850	North
04-Feb-08	Ramesh	11800	South
06-Feb-08	Abhay	11700	North
09-Feb-08	Bruce	11750	North
10-Feb-08	Ramesh	11850	South
10-Feb-08	Ramesh	11900	West
11-Feb-08	Mark	10850	East
12-Feb-08	Varsha	10600	North
12-Feb-08	James	12800	East
16-Feb-08	Veronica	11400	North
17-Feb-08	Ramesh	11050	East
18-Feb-08	Rajat	12650	West
19-Feb-08	Bruce	12800	North
23-Feb-08	Mark	11100	West
25-Feb-08	Bruce	13250	South
25-Feb-08	Anshika	14800	North
26-Feb-08	Bruce	11950	South
27-Feb-08	Charley	11950	East
01-Mar-08	Anshika	12150	East
02-Mar-08	Abhay	13750	East
02-Mar-08	Swati	11650	West
04-Mar-08	Charley	13600	South
08-Mar-08	James	11300	South
16-Mar-08	Bruce	14850	West
18-Mar-08	James	12900	East
20-Mar-08	Abhay	14100	East
21-Mar-08	Rajat	14200	South
23-Mar-08	Veronica	14750	West
27-Mar-08	James	12000	West
27-Mar-08	Mark	12450	South
29-Mar-08	Swati	13200	West
30-Mar-08	Jaspreet	13300	West
30-Mar-08	Veronica	10750	North
02-Apr-08	James	13250	East
02-Apr-08	Mark	14700	East
04-Apr-08	Abhay	13750	North
08-Apr-08	Veronica	14500	South
10-Apr-08	Mark	12350	South
10-Apr-08	Ramesh	12250	South
12-Apr-08	Charley	12300	West
13-Apr-08	Bruce	12850	North
13-Apr-08	Mark	14300	West
18-Apr-08	James	13150	West
20-Apr-08	Varsha	14750	South
23-Apr-08	Ramesh	13300	West
03-May-08	Mark	14650	West
06-May-08	Mark	13750	South
06-May-08	Abhay	14750	North
07-May-08	Ramesh	11000	West
08-May-08	Swati	14750	South
12-May-08	Swati	14650	East
12-May-08	Ramesh	10200	North
13-May-08	James	11900	West
14-May-08	Abhay	12450	South
15-May-08	Jaspreet	10400	West
16-May-08	Veronica	12050	South
16-May-08	James	12300	North
19-May-08	Mark	10550	East
21-May-08	Abhay	13600	East
22-May-08	Ramesh	14350	South
23-May-08	Jaspreet	12500	South
23-May-08	Veronica	12100	West
24-May-08	Abhay	14800	West
27-May-08	Charley	11950	East
31-May-08	Varsha	13350	North
02-Jun-08	Anshika	12300	West
03-Jun-08	Charley	11900	North
03-Jun-08	Ramesh	12700	South
04-Jun-08	Veronica	10150	South
05-Jun-08	Charley	14350	West
05-Jun-08	Swati	10350	North
13-Jun-08	Bruce	14000	North
14-Jun-08	Bruce	12250	North
18-Jun-08	Mark	11500	East
22-Jun-08	Abhay	12500	West
22-Jun-08	Anshika	12050	South
22-Jun-08	Veronica	11050	West
24-Jun-08	Anshika	13050	South
28-Jun-08	Rajat	11650	North
30-Jun-08	Bruce	10150	West
01-Jul-08	Varsha	13150	North
