FirstName,LastName,Gender,Street,HouseNumber,PostalCode,City,CountryCode,CountryRegionName,Latitude,Longitude,FormattedAddress,EmailAddress,TelephoneNumber,IPAddress,YearlyIncomeUSD,CustomerLifetimeValueUSD,NumberOfOrders,Issuer,CreditCardNumber,ExpiryDate,CVV
Oscar,Put,Male,Route de Redange,43,6717,Rodenhoff,BE,Belgium,49.754753,5.807988,"43, Route de Redange, Rodenhoff, Attert, Luxembourg, Wallonia, 6717, Belgium",oscar.put.160@gmail.com,+32 168507030,105.167.54.218,20919.60,2983.11,1,MasterCard,5210873827631087,06/28,552
Martin,Grozdeva,Male,Stefana Bogdanova Gencheva,54,5300,кв. Йонково,BG,Bulgaria,42.872304,25.327467,"54, Stefana Bogdanova Gencheva, Андреево, кв. Йонково, Gabrovo, 5300, Bulgaria",martin.grozdeva.365@outlook.com,+359 110875054,130.128.52.90,6724.80,614.53,2,Maestro,5020137897248137,08/24,636
Lucas,Cerqueira,Male,Rua José Urbano,170,14091-150,Jardim Paulista,BR,Brazil,-21.186358,-47.792921,"170, Rua José Urbano, Condomínio Parque Residencial Jardim das Pedras, Jardim Paulista, Ribeirão Preto, Região Imediata de Ribeirão Preto, Região Metropolitana de Ribeirão Preto, Região Geográfica Intermediária de Ribeirão Preto, São Paulo, Southeast Region, 14091-150, Brazil",lucas.cerqueira.124@gmail.com,+55 1811325091,127.230.176.125,4857.80,525.20,1,MasterCard,5276921742476921,11/26,813
Laurent,Chow,Male,Harwood Avenue South,580,L1S 1N4,Ajax,CA,Canada,43.837392,-79.017365,"Lakeridge Health - Ajax Pickering Hospital, 580, Harwood Avenue South, Ajax, Durham Region, Golden Horseshoe, Ontario, L1S 1N4, Canada",laurent.chow.297@hotmail.com,+1 1396072821,151.153.110.132,27349.00,2356.60,7,MasterCard,5233211244133211,10/20,630
Selina,Aeschbacher,Female,Diessbachgrabenstrasse,131,3673,Oberdiessbach,CH,Switzerland,46.852084,7.674514,"131, Diessbachgrabenstrasse, Oberdiessbach, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern, 3673, Switzerland",selina.aeschbacher.349@gmail.com,+41 575108709575,96.70.171.89,41201.60,3381.32,1,MasterCard,5210979221861097,08/28,774
Hana,Soukup,Female,U Kovárny,320,35604,Dolní Rychnov,CZ,Czech Republic,50.162783,12.641852,"320, U Kovárny, Dolní Rychnov, Sokolov District, Karlovarský kraj, Northwest, 35604, Czech Republic",hana.soukup.219@hotmail.com,+420 168646144168,18.66.224.107,14025.60,1935.82,9,Maestro,5020926432512926,04/28,700
Lina,Zschoppe,Female,Eduard-Rosenthal-Straße,46,99423,Jakobsvorstadt,DE,Germany,50.988306,11.339174,"46, Eduard-Rosenthal-Straße, Nordvorstadt, Jakobsvorstadt, Weimar, Thuringia, 99423, Germany",lina.zschoppe.234@hotmail.com,+49 301731673301,133.64.185.227,22291.60,3731.88,1,Maestro,5020486911749486,10/24,738
Freja,Holm,Female,Hjelmrode,2,6200,Styrt-om,DK,Denmark,55.032739,9.396561,"2, Hjelmrode, Styrt-om, Aabenraa, Aabenraa Municipality, Region of Southern Denmark, 6200, Denmark",freja.holm.282@hotmail.com,+45 27962106,183.114.22.112,49681.00,4910.80,3,Maestro,5020539017429539,07/25,817
Katye,Laas,Female,Kapa vkt,114,79716,Kiisa,EE,Estonia,59.217250,24.666893,"114, Kapa vkt, Aespa alevik, Kiisa, Saku vald, Harju maakond, 79716, Estonia",katye.laas.308@outlook.com,+372 4063936634,198.14.18.63,11695.20,605.78,1,Maestro,5020632286103632,11/25,691
Mauro,Limas,Male,Ronda Sant Ramon de Penyafort,24,08930,Sant Adrià de Besòs,ES,Spain,41.421920,2.215613,"Centre Municipal d'Esports, 24, Ronda Sant Ramon de Penyafort, el Besòs, Sant Adrià de Besòs, Barcelonès, Barcelona, Catalonia, 08930, Spain",mauro.limas.277@gmail.com,+34 709411563,65.87.163.131,14586.40,1535.16,1,Visa,4102480270810248,10/23,496
Samuel,Karttunen,Male,Niemenmäentie,8,00330,Munkkiniemi,FI,Finland,60.205178,24.883520,"8, Niemenmäentie, Niemenmäki, Munkkiniemi, Western major district, Helsinki, Helsinki sub-region, Uusimaa, Southern Finland, Mainland Finland, 00330, Finland",samuel.karttunen.339@hotmail.com,+358 822961852822,93.85.64.179,29415.00,1178.05,1,Maestro,5020407376709407,06/26,898
Trista,Fouque,Female,Rue Jean Racine,7,02800,Beautor,FR,France,49.663448,3.342716,"7, Rue Jean Racine, Beautor, Laon, Aisne, Hauts-de-France, Metropolitan France, 02800, France",trista.fouque.239@outlook.com,+33 232907005,86.178.117.135,26306.60,2557.88,1,Maestro,5020438880588438,04/26,776
Ebony,Bilias,Female,Ριζάρη,45,10675,Kolonaki,GR,Greece,37.974156,23.745737,"Σταθμός Ριζάρη, 45, Ριζάρη, Kolonaki, Συνοικία Κολωνακίου, Athens, Municipality of Athens, Regional Unit of Central Athens, 10675, Greece",ebony.bilias.206@outlook.com,+30 8233146218,132.206.146.80,13801.80,1870.15,5,MasterCard,5242772434042772,04/22,528
Nora,Simić,Female,Put Borka,7,21310,Brzet,HR,Croatia,43.439003,16.705095,"7, Put Borka, Brzet, Omiš, Grad Omiš, Split-Dalmatia County, 21310, Croatia",nora.simić.259@gmail.com,+385 321723445321,149.32.149.182,13048.80,1906.94,1,Maestro,5020191452153191,07/22,341
Natalia,Csala,Female,Arany János út,95,1221,Budafok,HU,Hungary,47.430463,19.013077,"95, Arany János út, Újhegy, Budafok, 22nd district, Budapest, Central Hungary, 1221, Hungary",natalia.csala.271@gmail.com,+36 810501786,218.135.193.25,8673.00,1178.60,6,MasterCard,5224859523424859,08/27,222
Elia,Spadaro,Male,Via Canale,76,42013,Dinazzano,IT,Italy,44.576905,10.757212,"76, Via Canale, Dinazzano, Casalgrande, Tresinaro - Secchia, Reggio nell'Emilia, Emilia-Romagna, 42013, Italy",elia.spadaro.132@hotmail.com,+39 13318287213,183.67.219.48,19082.00,676.20,1,Maestro,5020239684650239,07/25,837
Vilt,Jurevičius,Female,Onos Lukauskaitės-Poškienės g.,10,08300,Fabijoniškių seniūnija,LT,Lithuania,54.739493,25.259923,"10, Onos Lukauskaitės-Poškienės g., Fabijoniškių seniūnija, Vilnius, Vilnius city municipality, Vilnius County, 08300, Lithuania",vilt.jurevičius.261@hotmail.com,+370 60839643,121.156.206.67,13802.00,712.50,1,Maestro,5020105573188210,08/26,870
Francis,Walisch,Male,Rue des Lamineurs,11,3583,Burange,LU,Luxembourg,49.496144,6.080837,"11, Rue des Lamineurs, Burange, Dudelange, Canton Esch-sur-Alzette, 3583, Luxembourg",francis.walisch.278@outlook.com,+352 10041188491,234.35.166.106,48406.40,3684.20,11,Maestro,5020890172508890,11/23,697
Marta,Bogdanovs,Female,Dzirnavu iela,105,LV-1520,Centrs,LV,Latvia,56.951455,24.123784,"105, Dzirnavu iela, Centrs, Riga, Vidzeme, LV-1520, Latvia",marta.bogdanovs.138@hotmail.com,+371 16983001,71.239.90.174,12393.40,967.63,1,MasterCard,5210608085861060,07/24,775
María,Velasco,Female,Calle Benito Juárez Sur,33,76000,Querétaro,MX,Mexico,20.589512,-100.390665,"33, Calle Benito Juárez Sur, Centro, Delegación Centro Histórico, Querétaro, Municipio de Querétaro, Querétaro, 76000, Mexico",maría.velasco.169@gmail.com,+52 8452093628,25.50.129.227,10966.00,846.20,2,MasterCard,5256629261256629,09/26,801
Fem,Venne,Female,Daalstraat,57,6165TJ,Geleen,NL,The Netherlands,50.962104,5.828287,"57, Daalstraat, Kluis, Geleen, Sittard-Geleen, Limburg, Netherlands, 6165TJ, The Netherlands",fem.venne.380@outlook.com,+31 176139472,15.214.145.47,46002.60,3374.92,3,MasterCard,5238411232338411,05/23,511
Julian,Thorstensen,Male,Briggveien,20,4624,Voiebyen,NO,Norway,58.103846,7.950309,"20, Briggveien, Kjos, Voiebyen, Kristiansand, Agder, 4624, Norway",julian.thorstensen.138@hotmail.com,+47 14365079,88.155.40.20,32278.60,3734.01,1,MasterCard,5211064418711106,12/24,460
Isabella,Welsh,Female,Totara Street,23A,0405,Kaikohe,NZ,New Zealand,-35.400247,173.799905,"23A, Totara Street, Kaikohe, Far North District, Northland, 0405, New Zealand",isabella.welsh.341@outlook.com,+64 2020850632,226.204.183.101,42104.80,2993.02,9,Maestro,5020667855426667,02/21,414
Nicola,Kucer,Female,Jana Kasprowicza,5,41-503,Chorzów Stary,PL,Poland,50.305021,18.973191,"5, Jana Kasprowicza, Chorzów Trzeci, Chorzów Stary, Chorzów, Górnośląsko-Zagłębiowska Metropolia, Silesian Voivodeship, 41-503, Poland",nicola.kucer.169@gmail.com,+48 535393497,228.153.233.69,10549.80,1298.12,1,Maestro,5020580416421580,02/29,610
Pedro,Meiavia,Male,Rua da Mina,3,2040-351,Cidral,PT,Portugal,39.343982,-8.930374,"3, Rua da Mina, Cidral, Rio Maior, Santarém, Lezíria do Tejo, Alentejo Region, 2040-351, Portugal",pedro.meiavia.345@hotmail.com,+351 80799987180,175.21.125.61,18530.20,1616.74,6,Maestro,5020865942588865,08/24,376
Alessia,Dumitru,Female,Strada Take Ionescu,27,315200,Curtici,RO,Romania,46.351883,21.302479,"27, Strada Take Ionescu, Curtici, Arad, 315200, Romania",alessia.dumitru.308@outlook.com,+40 255276665,176.170.153.170,8695.00,612.00,1,Maestro,5020687223852687,08/26,840
Ulyana,Zhigin,Female,Подгорная улица,108,692411,Kavalerovo,RU,Russia,44.273070,135.060537,"108, Подгорная улица, Kavalerovo, Kavalerovsky District, Primorsky Krai, Far Eastern Federal District, 692411, Russia",ulyana.zhigin.271@gmail.com,+7 2613814692,71.194.135.179,13580.40,976.04,1,Maestro,5020529119946529,09/23,135
Austin,Yeoman,Male,Brondesbury Road,18,NW6 6NJ,South Hampstead,UK,United Kingdom,51.537274,-0.196598,"18, Brondesbury Road, Swiss Cottage, South Hampstead, London Borough of Camden, London, Greater London, England, NW6 6NJ, United Kingdom",austin.yeoman.238@gmail.com,+44 3041614333,168.60.26.162,37556.60,2338.38,1,Maestro,5020435249811435,09/25,399
Bohdan,Balan,Male,Starodesiatysazhneva Street,19,61000,Заїківка,UA,Ukraine,49.967736,36.232522,"19, Starodesiatysazhneva Street, Заїківка, Kharkiv, Основ’янський район, Kharkiv city rada, Kharkiv Oblast, 610000, Ukraine",bohdan.balan.257@outlook.com,+380 405498480,239.13.178.185,7874.40,1154.24,2,Visa,4105060408510506,07/23,273
